rainfall,soil_moisture,slope,elevation,temperature,risk
87.96,17.13,30.45,579.62,27.74,LOW
117.46,27.54,18.85,1208.96,25.46,MEDIUM
77.78,33.45,46.61,50.0,34.27,MEDIUM
70.06,28.11,39.81,995.61,23.51,MEDIUM
127.09,44.62,31.77,1530.16,20.02,HIGH
74.42,16.38,51.33,1454.78,17.66,MEDIUM
98.08,37.62,8.51,1013.72,29.41,MEDIUM
91.85,44.7,27.9,723.29,27.09,MEDIUM
127.01,43.68,32.76,582.96,27.83,HIGH
61.76,29.41,16.11,722.77,35.72,LOW
155.22,41.78,31.91,1078.4,25.19,HIGH
50.94,16.97,13.61,510.96,22.53,LOW
102.31,33.58,36.98,1168.12,23.12,MEDIUM
94.59,46.99,41.75,1745.93,18.02,HIGH
47.52,24.29,31.54,824.01,24.03,MEDIUM
107.96,25.49,3.91,285.35,26.43,LOW
65.18,23.01,15.43,285.21,25.84,LOW
36.16,26.0,35.34,1176.16,19.25,MEDIUM
116.94,32.6,28.28,824.91,30.38,MEDIUM
25.85,27.47,2.0,1218.27,24.47,LOW
41.69,30.42,44.16,625.87,25.46,HIGH
77.17,40.13,29.78,1198.86,26.03,MEDIUM
126.48,53.9,17.35,783.51,26.98,MEDIUM
112.34,46.93,40.93,542.35,27.44,MEDIUM
87.03,21.65,19.19,681.58,28.12,LOW
18.99,11.1,19.05,347.24,27.87,LOW
49.21,25.04,32.66,1685.53,23.56,MEDIUM
57.59,22.25,51.15,809.52,27.77,MEDIUM
34.81,11.05,49.11,1120.7,24.48,LOW
14.53,15.47,32.68,624.51,25.48,MEDIUM
79.72,25.54,34.01,408.19,32.06,LOW
114.64,28.95,38.29,751.77,24.09,MEDIUM
54.32,23.22,11.66,1312.5,24.35,LOW
125.45,51.04,36.37,631.29,27.48,HIGH
23.18,23.9,18.46,484.38,24.87,LOW
33.1,50.49,32.14,915.29,22.3,MEDIUM
78.59,32.45,25.04,1059.59,23.1,MEDIUM
50.98,22.97,34.52,1540.0,20.49,LOW
108.62,35.43,29.54,998.58,19.84,MEDIUM
97.39,36.4,2.0,1120.48,21.87,MEDIUM
53.7,31.38,30.33,1152.1,24.67,MEDIUM
25.2,44.88,36.35,365.73,31.41,LOW
49.25,16.58,33.8,445.4,28.77,LOW
98.93,43.28,26.67,394.76,18.91,MEDIUM
111.39,38.11,49.35,290.5,29.74,LOW
51.15,8.9,32.05,1184.09,21.89,MEDIUM
14.45,28.79,33.69,971.82,26.08,MEDIUM
22.04,35.47,41.58,883.39,24.98,LOW
93.78,23.58,32.71,50.0,28.16,LOW
53.06,26.39,16.33,1713.3,20.96,LOW
54.0,7.66,2.0,474.41,26.79,LOW
32.66,9.38,21.8,1711.76,25.6,LOW
32.16,34.67,37.89,241.32,27.85,LOW
124.12,32.73,23.41,508.79,30.18,MEDIUM
95.96,21.16,38.42,50.0,31.78,MEDIUM
44.34,27.62,29.93,1002.09,26.63,LOW
74.74,24.21,44.74,387.47,21.54,MEDIUM
83.71,26.21,24.16,399.34,30.78,LOW
190.83,56.66,34.08,273.54,26.3,HIGH
29.96,10.01,34.58,1176.49,26.0,LOW
82.98,21.32,47.52,1148.81,20.72,MEDIUM
123.72,39.49,5.81,1611.05,17.96,LOW
177.26,57.02,22.04,562.0,32.8,MEDIUM
42.63,38.44,39.03,941.9,21.7,LOW
52.56,19.09,48.1,308.48,31.28,MEDIUM
109.28,45.8,31.12,709.28,26.19,MEDIUM
18.7,12.37,24.19,632.08,24.81,LOW
88.49,52.25,37.84,1045.07,24.15,MEDIUM
233.3,42.86,39.29,1277.15,19.09,HIGH
94.7,47.76,23.32,1266.25,23.26,MEDIUM
7.84,12.03,32.29,496.02,23.3,LOW
36.54,45.99,43.35,1269.36,22.02,MEDIUM
43.66,31.49,52.58,831.48,28.22,MEDIUM
141.92,29.53,37.65,713.67,26.6,HIGH
63.01,22.34,28.57,552.43,21.77,MEDIUM
14.67,28.94,27.3,614.83,28.96,LOW
68.18,40.49,35.25,1581.77,21.86,MEDIUM
77.91,29.69,26.5,979.11,22.86,LOW
48.04,26.18,30.47,923.34,27.23,MEDIUM
31.7,31.41,14.25,739.86,25.14,LOW
248.76,59.25,44.86,1877.31,16.82,HIGH
123.98,23.61,13.18,1398.1,28.62,MEDIUM
131.12,30.04,22.38,547.15,26.48,MEDIUM
63.11,30.68,29.27,735.08,25.43,MEDIUM
42.08,38.1,53.88,760.02,24.28,MEDIUM
49.84,43.75,22.51,911.27,28.68,MEDIUM
23.12,30.27,19.34,555.49,24.82,LOW
188.56,51.33,20.84,1034.3,19.4,HIGH
64.95,36.63,49.57,1459.88,20.26,MEDIUM
162.64,36.69,2.0,298.28,31.9,LOW
51.67,24.58,14.96,376.18,29.97,LOW
95.6,24.23,63.51,647.07,25.27,MEDIUM
80.88,17.2,35.68,666.55,30.39,LOW
20.97,25.02,13.62,1689.36,23.79,LOW
203.33,52.57,27.46,1270.72,22.43,MEDIUM
52.84,34.02,28.88,1246.62,22.86,LOW
27.58,28.42,39.0,738.97,26.73,MEDIUM
109.85,38.25,51.91,729.75,23.05,MEDIUM
70.67,35.43,33.05,240.28,27.93,MEDIUM
89.94,31.92,20.98,1178.33,24.68,LOW
75.74,34.66,38.23,1056.24,18.85,MEDIUM
8.86,11.43,18.92,1390.12,22.14,LOW
35.54,27.75,14.57,761.45,24.6,LOW
34.41,30.86,5.12,790.45,28.73,LOW
129.9,31.42,7.65,921.42,18.95,LOW
72.54,30.18,16.35,1224.6,22.27,LOW
99.44,27.05,12.69,232.51,26.41,MEDIUM
55.25,21.05,32.07,1159.14,26.86,LOW
102.7,22.06,12.41,841.39,25.07,LOW
63.21,42.04,2.0,405.37,32.92,LOW
59.93,39.31,14.43,50.0,30.89,LOW
80.5,36.79,21.87,792.68,24.12,LOW
75.74,51.81,20.13,1458.04,23.21,LOW
298.35,63.65,47.75,1553.37,20.88,CRITICAL
35.22,56.98,20.02,999.26,27.25,MEDIUM
18.85,18.51,39.45,1674.04,17.2,LOW
88.61,34.99,27.75,831.96,22.62,MEDIUM
39.41,19.93,27.45,1250.39,24.83,MEDIUM
7.66,23.32,17.14,660.48,29.95,LOW
28.84,31.81,27.24,633.87,19.1,LOW
258.78,58.15,18.05,565.45,30.85,HIGH
34.45,43.06,30.21,50.0,28.33,LOW
13.22,22.75,24.93,1390.58,16.71,LOW
248.85,60.79,15.72,580.51,16.78,HIGH
27.87,12.46,40.89,513.4,21.8,LOW
320.0,73.8,33.55,354.41,27.34,HIGH
53.48,25.08,22.18,764.17,25.35,LOW
203.86,43.93,29.89,1590.67,23.87,HIGH
58.95,18.89,26.91,1729.39,19.46,MEDIUM
95.98,62.75,16.72,152.44,24.77,MEDIUM
64.21,25.38,28.92,701.13,24.52,MEDIUM
59.27,11.46,19.93,415.57,27.24,LOW
83.68,23.71,15.72,1265.1,24.05,MEDIUM
98.34,33.17,6.9,970.37,22.11,LOW
79.31,36.7,23.34,582.64,29.26,MEDIUM
73.73,35.9,35.37,880.48,23.05,MEDIUM
39.68,31.79,18.97,649.48,23.29,LOW
66.0,21.47,60.77,1527.98,20.39,HIGH
187.99,51.82,39.51,1079.72,27.58,HIGH
38.23,14.48,44.96,1131.33,23.48,LOW
85.37,24.84,38.34,50.0,26.55,MEDIUM
152.49,32.3,52.09,821.95,28.26,HIGH
98.9,20.75,17.77,1724.95,28.09,MEDIUM
130.8,50.63,2.0,1406.97,23.34,MEDIUM
27.49,29.97,22.2,74.22,32.61,LOW
85.52,42.43,35.26,718.36,29.08,MEDIUM
56.82,27.52,29.97,345.36,25.51,LOW
58.64,35.93,31.58,1568.66,22.03,HIGH
178.04,27.11,45.17,952.6,20.61,HIGH
59.33,36.99,32.97,527.53,25.97,MEDIUM
87.44,33.94,38.39,864.35,23.11,MEDIUM
13.23,27.02,15.79,50.0,27.49,LOW
203.72,54.77,13.76,394.32,24.83,HIGH
125.9,27.29,48.98,865.31,24.19,MEDIUM
67.8,12.37,29.31,1205.18,25.28,LOW
54.95,18.96,19.9,50.0,28.39,LOW
105.69,41.12,19.92,689.91,19.93,MEDIUM
151.3,49.8,19.56,1274.07,20.88,MEDIUM
205.46,35.83,18.78,240.39,23.06,MEDIUM
123.19,26.92,11.32,946.26,25.52,MEDIUM
74.44,21.96,8.49,877.71,26.66,LOW
135.71,35.78,25.46,1570.04,22.76,MEDIUM
119.8,22.19,20.29,753.34,23.09,MEDIUM
74.65,14.3,42.39,777.93,26.29,LOW
117.49,27.76,31.81,1209.08,22.05,LOW
116.04,37.52,31.45,292.93,24.04,LOW
67.51,15.82,18.34,757.23,27.97,LOW
47.28,24.29,26.43,658.6,28.65,LOW
109.45,47.16,32.69,791.66,28.47,MEDIUM
30.25,8.52,37.31,1206.33,21.62,LOW
24.66,19.68,26.78,1082.75,27.9,MEDIUM
88.4,43.42,42.03,535.55,25.01,HIGH
107.47,30.59,28.1,907.41,27.01,LOW
87.94,25.76,38.31,1475.99,20.72,MEDIUM
94.66,45.94,21.63,500.83,26.03,LOW
106.25,31.63,4.44,910.97,17.15,LOW
178.47,58.7,31.49,768.87,24.57,HIGH
124.59,42.65,37.43,823.54,25.59,MEDIUM
122.13,33.77,35.48,165.12,26.94,MEDIUM
83.72,36.67,33.49,1442.52,28.13,MEDIUM
85.92,35.27,23.47,524.77,22.92,MEDIUM
63.55,39.4,17.51,1280.95,21.43,LOW
92.76,26.81,35.17,589.02,23.45,MEDIUM
28.95,23.08,33.54,587.29,24.55,LOW
179.0,45.96,20.71,1359.51,26.18,MEDIUM
36.24,31.54,42.42,1267.43,28.03,MEDIUM
124.42,26.63,16.52,937.64,22.54,MEDIUM
164.72,55.54,20.41,1169.68,21.42,MEDIUM
124.23,43.01,49.27,728.81,22.02,HIGH
273.4,47.26,39.29,846.49,29.37,HIGH
9.48,32.81,23.35,572.12,30.01,MEDIUM
49.73,50.53,31.74,1229.71,23.13,MEDIUM
162.96,55.09,30.01,558.77,22.02,MEDIUM
23.77,37.5,2.0,1473.77,18.19,LOW
37.18,24.89,16.22,717.35,26.32,LOW
101.78,16.01,27.34,858.61,26.89,MEDIUM
73.79,9.52,23.36,1168.67,17.13,LOW
97.56,36.41,31.21,860.02,24.1,MEDIUM
78.36,24.03,42.68,724.88,30.92,LOW
83.51,21.3,23.82,837.39,24.54,LOW
40.28,23.75,14.25,1225.4,28.25,LOW
81.65,37.84,32.22,571.6,28.5,LOW
52.39,10.4,23.75,796.98,21.94,LOW
